unique_id,academic_year,exam_type,course,year,subject,topic,subtopic,question
35,18-19,Mid Term,,1st,chemistry,,,"Discuss the theory of electrochemical
corrosion with absorption of oxygen.

(ii) Derive second order rate equation when concentration of both the
reactants is same and also show that time taken for half completion
of this reaction is inversely proportional to the initial concentration
of the reactant. |

(iii) Discuss the theory of NMR spectroscopy. How many proton NMR
signals will you get for Toluene and CH2=CHCHs.?"
36,14-15,Mid Term,,1st,chemistry,,,"--- Page 1 ---
21:41 48 - Q@aess Tle4

Printed Pages-2 University ROI No. cesses.

Course: B. Tech I Year (Odd Semester Examination)
Second Mid Term Examination 2014-15
_ AHC-101: Engineering Chemistry -

_ Time: 1% Hours ' Total Marks: 20 ,
Note: Attempt all questions from Seetion-A, any three from Section-B
_. and any three from Section-C i. ph
Section-A |

Note: Attempt all q uestions _ as 1x5=5""
1. mg/L and, ppm are same, justify the ‘Statement. .
2. How scale due to CaSO, may be controlled in boiler?"
37,14-15,Mid Term,,1st,chemistry,,,".
3. Calculate the number of components and number of degree of
freedom in a mixture of CaCO;(8), CaO(s) and:CQ, (g).
4.. Define lubrication, ~-° 7
5. Write the structure of monomer of Neoprene.
i Section - B’

Note: Attempt three questions |  3x2=6— |
1. What are the boiler problems?"
38,14-15,Mid Term,,1st,chemistry,,,"Discuss calgon conditioning for water
» tobeusedinboile. =, a a oe
_ 2. What would be the pH of the solution obtained by mixing 5 gm. —
acetic acid and 7.5 gm. of sodium acetate and making the volume |
equal to .500mL.Disséciation constant of acetic acid at 25°C is.

/

£7 AARC Pan gt Srnetegge :
. Write the structure of Vuleanized rubber.» wf tg

__ 4. What are Flash and Fire point of liquid lubricants?"
39,14-15,Mid Term,,1st,chemistry,,,"~

Section C

 ¢ Note: Attempt an y three questions ._ ; 3 x3=9
' 1. Discuss lon exchange ptocéss or Reverse Osindsis for treatment of

water,

2. What do you mean by potable ‘water?"
40,14-15,Mid Term,,1st,chemistry,,,"A zeolite soffener was 90%
| exhausted when, 1000L of hard water passed ‘through it, The softener

- Tequired 100L brine solution containing 10g NaCl/L for regerieration.

Find out hardness of water, | . |

3. Draw a neat diagram of water system and discuss it. |
4. Write the step by step-mechanism of polymerization of vinyl chloride
in the presence of Azobis butyro nitrilé,

\

¢?"
41,19-20,Mid Term,,1st,chemistry,,,"--- Page 1 ---
eee Qt: Til Gp
Printed Pages: 2 University Roll No............
Mid-Term Theory Examination, 2019-20
Engineering Chemistry (BCHS 0101)

Course: B.Tech. Year/ Semester: [Il
Time: 2 Hr Maximum Marks: 30
Section A
Note: Attempt all questions 2x 3=6 marks
1. Calculate the number of Chiral carbon atom and pairs of enant'omer in 3
Chloro-2 pentanol.

2. Suggest the role of flux used in ceramic industry. Discuss important
industrial applications of ceramics.
3, What is metallic Bond?"
42,19-20,Mid Term,,1st,chemistry,,,"Explain it in term of the electron sea theory.

Section B

Note: Attempt all questions 3x 3 = 9 marks

1. Define is lubricant?"
43,19-20,Mid Term,,1st,chemistry,,,"Discuss the importance of oiliness and pour point of

lubricants.
2. (a) Design preparation process and industrial application of any one
polymer. (2.0)

(i) Bakelite
(ii) Poly B hydroy butyrate |
(b) If the average degree of polymerization of polystyrene is 10° calculate
its average molecular weight. (1.0)
3. Assign R/S and E/Z to the following.

H » ieee : ph
or —f 2 H————NH, ""aE SE im
Hs boon H
cl COOH HN OH
a =~ y=

OH HO Sr cl 1
(a) ib) (c)

--- Page 2 ---
Section C

Note: Attempt any three questions 5 x3= 15 marks

1. (a) Differentiate Gross and Net Calorific value of a fuel. (1.5)
(b) Discuss the importance of Ultimate analysis of Coal. —_ (1.5)

(c) On burning 0.83 gram of a solid fuel in a bomb calorimeter, the
temper:iure of 3500 gram of water increased from 26.5°C to
29.2°C. Water equivalent of calorimeter and latent heat of steam are 385
gram and 587 cal/gram respectively. If the fuel contains 0.7% hydrogen,
calculate its gross and net calorific value.
(2.0)

2. Using the concept of Molecular orbital theory, draw the molecular orbital
diagram of O, molecule, find out bond order and also assign magnetic
behavior.

3. (i) List composition and uses of any two of the glasses. (3.0)

(a) Flint

(b) Pyrex

(c) Hard glass

(ii) Calculate the volume of air required, if 15% excess of air is used for the
complete combustion of 100 m’ of gaseous fuel having composition:
Propene=15%, CH,=18%, H3=10%, N>=25% ,
O,= 12%, CoH.=18 % and rest CO. (2.0)

4. (i) What are conformers?"
44,19-20,Mid Term,,1st,chemistry,,,"Explain conformation in n- butane with
suitable diagrams. Discuss their stability order by giving Energy Level
diagram. (3.5)

(ii) Differentiate addition and condensation polymerization. (1.5)?"
45,16-17,Mid Term,,1st,chemistry,,,"--- Page 1 ---
Printed pages: 2 University Roll No.............sseseseeeee

FIRST Mid Term Examination, 2016 — 2017
B. Tech. I Year I Semester
AHC — 1001: ENGINEERING CHEMISTRY

Time: - 1% Hrs. Max. Marks:- 20
Section—A
Note : Attempts all Questions 1X 5=5 Marks

I. Arrange N> , F, and O, * in increasing order of their bond
length.

II. What is necessary condition for showing a molecule to form
diastereomer?"
46,16-17,Mid Term,,1st,chemistry,,,"Write any one structure of diastereomer.

Ill. Write Dulong Pettit formula for calculating HCV of fuel.

IV. Why methanol is soluble in water while carbon tetra chloride is
insoluble in water?"
47,16-17,Mid Term,,1st,chemistry,,,"V. Write two examples of insulating lubricating oil .
Section —B
Note : Attempt any Three Questions 2X3=6 Marks
1. How calorific value of a fuel is determined by bomb
calorimeter?"
48,16-17,Mid Term,,1st,chemistry,,,"Expain with diagram.

Il. How synthetic petrol is prepared by Fischer Tropsch method?"
49,16-17,Mid Term,,1st,chemistry,,,II]. What is metallic bond?
50,16-17,Mid Term,,1st,chemistry,,,"Write electron sea model theory of
metallic bond.

IV. What is geometrical isomerism?"
51,16-17,Mid Term,,1st,chemistry,,,"Explain with E-Z configuration
of geometrical isomers.

Page 1 of 2

Section —C
Note : Attempt any Three Questions 3 X3=9 Marks

I. What are conformers?"
52,16-17,Mid Term,,1st,chemistry,,,"With the help of Newmann projection
explain the conformers of a molecule in which Gauche ( or
Skew ) conformer exist .

Il. Explain Molecular orbital Theory .With the help of M.O. Theory
draw M.O.Diagram of CO molecule.

III. A fuel sample has following composition :-Ethane — 10 %,
Isobutane = 30 % , Propene = 20 %, Carbon Monoxide = 5% ,
Nitrogen = 5% and oxygen = 30%. Calculate the volume of air
required of 100 m’ of fuel sample if 40 % excess air is required .

IV. What are ceramics?"
53,16-17,Mid Term,,1st,chemistry,,,How are they classified?
54,16-17,Mid Term,,1st,chemistry,,,"What are the
main constituents of ceramics?"
55,19-20,Mid Term,,1st,chemistry,,,"--- Page 1 ---
. Printed Pages: 2 University Roll No............
Mid-Term Examination, Even Semester 2019-20

B.Tech, I Year, I] Semester
(BCHS 0101): Engineering Chemistry
Time: 2 Hr Maximum Marks: 30
Section A
Note: Attempt all questions 2 x 3=6 marks

1. Differentiate enantiomers and diastereomers.
2. Write important industrial a; plications of cera:nics.
3. What is hydrogen Bond?"
56,19-20,Mid Term,,1st,chemistry,,,"Discuss different types of hydrogen

bonding.
Section B
Note: Attempt all questions 3 x 3=9 marks

1. Discuss the mechanism of thick film lubrication. Give two

examples of solid lubricants.
_ 2. Write the preparation process and industrial application of any two

polymers.
(i)Teflon
(ii) Buna-S rubber
(iii) Poly lactic acid

3. Assign R/S and E/Z to the following.

j COOH
seeaatt® Fs OH pai a CH20H
CH; CH;
HN : | H Cl
Section C
Note: Attempt any three questions 5 x 3= 15 marks

1. How experimentally calorific value of a fuel is determined by
bomb calorimeter?"
57,19-20,Mid Term,,1st,chemistry,,,"Explain with neat diagram.

2. Using the concept of Molecular orbital theory, draw the molecular
o:bital diagram of N2, find out bond order and also assign magnetic
behavior.

3. (i) Write the composition and uses of any two of the glasses.

(a) Potash glass

(b) Lead glass

(c) Soft glass

(ii) Calculate the volume of air required for the complete

combustion of 1 m°

of gaseous fuel having. composition:
C;Hs=40%, C,H2=30%, H2=15%, N2=5% and rest is CO).

4. (i) With the help of neat diagram discuss Fischer Tropsch method for
the production of synthetic petrol.

(ii) Write the most stable and least stable conformation of n-butane.?"
58,16-17,Mid Term,,1st,chemistry,,,"--- Page 1 ---
Printed Pages: 01 University Roll NO...
Second Mid Term Examination, 2016-2017
B.Tech. | Year | Semester
AHC-1101: ENGINEERING CHEMISTRY
Time: 1% Hrs. Max. Marks: 20
Section-A

Note: Attempt all Questions 1X5= 5Marks

|. What are the boiler problems?"
59,16-17,Mid Term,,1st,chemistry,,,"ll. Mention two examples of industrially important smart materials.
lll. Write the name of monomer of nylon 6, 6.
IV. CaCO3is accepted as a standard to represent hardness of water,

why?"
60,16-17,Mid Term,,1st,chemistry,,,"V. Discuss role of annealing in manufacturing of glass.
Section-B
Note: Attempt any three Questions 2X3= 6Marks

|. Discuss briefly about Potash glass and Jenna glass.
i. Distinguish thermoplastic and thermosetting polymer.
ill. Explain calgon conditioning for treatment of water to be used in
boiler. |
\V. Why are the functional materials so important for industries?"
61,16-17,Mid Term,,1st,chemistry,,,"Mention at least four reasons.
Section -C
Note: Attempt any three Questions 3X3= 9Marks
|. Reverse Osmosis process is the best water purification process,
justify. Discuss different technical aspects of Reverse Osmosis for
water treatment with diagram.
il. Write the preparation and industrial applications of the following.
a) Teflon b) Buna-N c) PLA
ill. The hardness of 100 Lts of a water sample is completely removed
by passing through zeolite softener which required 10 Lts brine
solution containing 1 g/l of NaCl for regeneration. Calculate
hardness of water in ppm.
IV. Discuss the mechanism of preparation of polypropylene using
Ziegler-Natta catalyst.?"
62,13-14,Mid Term,,1st,chemistry,,,"--- Page 1 ---
Uni. ROM] NOt~sessccscessceeescvvvesseseencessneees
ll Mid Term, Even Semester Examination, 2013-14
Course: - B.Tech. ! Yr., il Semester

Engg. Chemistry (AHC-101)
Time:-90 Minutes Total Marks:-20
Note:-
1. Answer all questions from Section A, Any three from Section B
and Any three from Section C.
2. All questions of the particular section should be answered
collectively at one place.
3. Answer should be brief and to-the-point and be supplemented with
neat sketches. |

4. Any missing or wrong data may be assumed suitably giving proper
justification.
5. Figures on the right-hand side margin indicate full marks.

Section-A
Note: Attempt All Questions. 1X5=5 marks

1. ppm and mg/L are same, Justify.

2. What do you mean by biodegradable polymers?"
63,13-14,Mid Term,,1st,chemistry,,,"3. Discuss buffer Capacity.

4. Calculate the pH of 10° M NaOH solution.

5. Define degree of freedom.

| Section-B |
Note: Attempt Any Three Questions. 2X3=6 marks
1. Write preparation and properties (at least two) of Nylon 66

polymer.
2. What is hardness of water?"
64,13-14,Mid Term,,1st,chemistry,,,"Discuss in detail.
3. Discuss classification of lubricant with suitable examples.

Page 1 of 2

--- Page 2 ---
4. A water sample contains 16.2 mg/L Ca (HCOs3)2, 250 mg/L NaCl and
9.5 mg/L MgCl2.Find out temporary and permanent hardness of
the water sample.

. Section-C
Note: Attempt Any Three Questions. 3X3=9 marks

1. Discuss zeolite process for treatment of water.

2. Explain the phase diagram of water system with a neat diagram.

3. A zeolite softener was 90% exhausted by removing hardness
completely when 100 Litres hard water passed through it .The
exhausted bed required 200 Litres of 3% brine solution for complete
regeneration Find out hardness of water solution.

4. Discuss step by step mechanism of polymerization of polystyrene in
presence of potassium amide as a catalyst.?"
65,16-17,Mid Term,,1st,chemistry,,,"--- Page 1 ---
ss Univ. Roll N 3 ccecee ** War 4
22:29 ""ts"" \- i te tall ED 4
First Mid Term (Even Sem.)Theory Examination-2016-17

Sub: - EngineeringChemistry Paper Code:-AHC1101
Time: - 90 Min. Max. Marks:-20

-A
Note: Attempt All Five Questions. 1x5 = 5 marks

(1) How does bond order relate dissociation energy?"
66,16-17,Mid Term,,1st,chemistry,,,"(11) Name the highest ranking coal. Give its approximate
calorific value.

(II) Lubricants are essential in automobile industries, Justify.

(IV) Name the ceramic material used in manufacturing of

bullet proof vest.
(V) Assign E-Z nomenclature to the following compounds.
(Any two)
pak % — HN
OH HO ms
(a) (>) (c)

Section- B
Note: Attempt Any Three Questions. 2 * 3 = 6 marks

(I) What is hydrogen bond?"
67,16-17,Mid Term,,1st,chemistry,,,"Explain different types of
hydrogen bonds with suitable examples

(Il) Discuss the industrial significance of any one pair of the
following.
(a) Flash point and fire point
(b) Cloud and Pour point

(P.T.O.)

(ID) 0.98 gram of a liquid fuel containin.1% C, 8% H
have the following result in bomb calorimeter

experiment
Amount of water taken in calorimeter. = 1450 gram
Water equivalent of calorimeter = 450 gram
Rise in Temp. = 1.8°C
If latent heat of steam is 587cal/gram, calculate gross and
net calorific value of fuel.

(IV) What is ceramic?"
68,16-17,Mid Term,,1st,chemistry,,,"Discuss the applications of ceramics in
the field of engineering and technology.

Section- C
Note: Attempt Any Three Questions. 3 * 3 =9 marks

(I) What are conformers?"
69,16-17,Mid Term,,1st,chemistry,,,"Explain conformationin n- butane
with suitable diagrams. Discuss their stability order
byusing Energy Level diagram.

(Il) With the help of Molecular Orbital Theory, draw the
MO diagrams of NO and also calculate their bond order
& assign their magnetic behavior.

(III) Calculate the weight and volume of air needed for
complete combustion of 3 Kg. coal having following
composition C=70%, H=20%, O=5% and N=5%. (Molar
mass of air = 28.94gm/mol).

(IV) Explain Bergius method for manufacturing of synthetic
petrol with diagram.?"
70,19-20,Mid Term,,1st,chemistry,,,"--- Page 1 ---
Printed Pages:02 University Roll No...............
Mid-Term Theory Examination, 2019-20

Engineering Chemistry (BCHS 0101)
Course: B.Tech. Branch: CSE Year/Semester: L/I
Time: 2 Hr Max. Marks: 30
on-
Note: Attempt all questions. 2*x3=6 marks
1. Differentiate HCV and NCV.

2. With the help of reaction, explain how vulcanization of rubber is
done?"
71,19-20,Mid Term,,1st,chemistry,,,What are the advantages of vulcanized rubber over raw rubber?
72,19-20,Mid Term,,1st,chemistry,,,"3. Write the significance of the following in lubrication process:

i) Flash point and fire point *
ii)Cloud point and pour point
Section- B
ote: A t all questions 3x3=9 marks

1. What do you understand by conformational isomers?"
73,19-20,Mid Term,,1st,chemistry,,,"Draw all
possible conformers of n-butane. State which one is most stable and
which one is least stable?"
74,19-20,Mid Term,,1st,chemistry,,,2. What are ceramics?
75,19-20,Mid Term,,1st,chemistry,,,How they cat. be classified?
76,19-20,Mid Term,,1st,chemistry,,,3. Calculate the weight of air required for complete combustion of | m?
77,19-20,Mid Term,,1st,chemistry,,,"of a gaseous fuel having following composition:

CH, = 45 %, C2Hs = 15%, CO = 10%, Nz = 10%, H2 = 10%, O2 = 10%.
Section- C
Note: Attempt any three questions 5 *3=15 marks
1. Using the concept of Molecular orbital theory, draw molecular orbital

diagram of Oxygen molecule. Also, write its molecular orbital
electronic configuration, bond order and magnetic character.

Page 1 of 2

2. i) Explain with help of well labeled diagram, how petrol can be
synthesized using “Fisher Tropsch Method”. Also, write reactions

involved in this method.
ii) Assign R/S configuration in the following compounds:
CH,
Ky, CHs
bE
OH NH»
“ (o)
CHy
Hi, gars
“ Ph
| a
Cc! ci
« «a
3. i) Differentiate Thermosetting and thermoplastic polymers. (2)
ii) Design the method of synthesis and write the applications of”
following polymers (any two): (3)
a. Buna-S
b. Polystyrene

c. Polylactic acid
4. i) Write the composition and uses of any two type of glasses: (3)
a. Borosilicate glass
b. Lead glass
c. Soda glass

ii) Draw a well labeled diagram of bomb calorimeter for
determination of HCV. Also, write the formula involved in it. (2)
*ESeES*?"
